Organization,Category,Meeting Day,Meeting Time,Location,Members
Adobe Creative Club,"Art, Music, & Performance",,Not decidesd yet,Not decidesd yet,3
Amuse Creative Writing Club,"Art, Music, & Performance",,4:00 PM Fridays,Varies,104
Buffoons,"Art, Music, & Performance",,Tues. & Thurs.,,14
Circuit Benders,"Art, Music, & Performance",,,,14
Colorado Bhangra Team,"Art, Music, & Performance",,,,12
Crave the Sound,"Art, Music, & Performance",,General Meetings Every Monday at 6:15,Zoom,28
Creo,"Art, Music, & Performance",,5:30 P.M. on Wednesdays,Norlin Library,3
CU Abhinaya,"Art, Music, & Performance",,Tuesday and Thursday (7:00-9:30pm),CU REC,3
CU American String Teachers Association,"Art, Music, & Performance",,Varies,CU College of Music,1
CU Boulder Collegiate Chapter of MTNA,"Art, Music, & Performance",,1PM on Fridays,IMIG Music Building,14
CU Boulder Comedy Club,"Art, Music, & Performance",,,,12
CU Boulder Cosplay Club,"Art, Music, & Performance",,Mondays 5:00Pm - 7:00PM,,5
CU Breaking Club,"Art, Music, & Performance",,8:30 PM,CU Rec Center,12
CU Burlesque,"Art, Music, & Performance",,,,58
CU Ceramics Club,"Art, Music, & Performance",,TBT - meeting will be posted on organization's page,ZOOM,98
CU Game Development and Graphics Club,"Art, Music, & Performance",,6:00 - 7:00 PM,DUAN G1B27,23
CU Independent,"Art, Music, & Performance",,Sundays at 7 p.m.,CASE W262,2
CU Jam Society,"Art, Music, & Performance",,Tuesdays at 7:30,The Connection,42
CU On The Rocks,"Art, Music, & Performance",,"Sundays & Wednesdays, 7:00-9:00",Hellems,9
CU Rave Club,"Art, Music, & Performance",,Bi-weekly Tuesdays (starting 8/30) @7:00PM,HUMN 250,141
Delta Rho Chapter of Mu Phi Epsilon,"Art, Music, & Performance",,TBA,TBA,2
Earth Muffins,"Art, Music, & Performance",,Tuesdays at 5:30 p.m.,ATLAS 1b31,4
Elevation,"Art, Music, & Performance",,Friday and Sundays at 7-9pm,Rec Center Dance Studio,5
Emergency Painting,"Art, Music, & Performance",,,,6
enACTs,"Art, Music, & Performance",,Monthly,THDN,2
Extreme Measures A Cappella,"Art, Music, & Performance",,"7-9PM TTh, 4-6 Sun",HLMS 211,8
Graduate Musicology Society,"Art, Music, & Performance",,,,21
Grand Canonical Ensemble,"Art, Music, & Performance",,We meet for 1-2 hours once a week throughout the semester for rehearsals / jam time; exact time depending on people's schedules and availability.,,10
In The Buff A Cappella,"Art, Music, & Performance",,SunMW,UMC,11
Left Right Tim Improv Comedy,"Art, Music, & Performance",,Shows 8:30pm Every Friday,Hale 270,4
Marvel Super Movie Club,"Art, Music, & Performance",,7-9PM,Eaton Humanities 1B90,52
Meridian Creative Arts Journal,"Art, Music, & Performance",,Varies,In-Person/Online,11
Mile 21 A cappella,"Art, Music, & Performance",,10-Aug,UMC,4
Music Production Club,"Art, Music, & Performance",,Wednesday at 6:45pm to 7:45pm,Atlas Building (ATLS 104),24
National Association for Music Education,"Art, Music, & Performance",,,,4
On That Note,"Art, Music, & Performance",,,,2
One Note Stand A cappella,"Art, Music, & Performance",,Sun Thurs,Hellems,10
Painting Pals,"Art, Music, & Performance",,"Tuesdays, 6:30 PM",Visual Arts Complex Room 475,94
Photography Club,"Art, Music, & Performance",,Varies,Varies,95
Sea U,"Art, Music, & Performance",,,,4
Shuffle/Flow,"Art, Music, & Performance",,,,3
Songwriting Club,"Art, Music, & Performance",,Thursday nights 5-6pm,UMC room 245,8
Spaghetti Confession Improv,"Art, Music, & Performance",,,,5
UCB Titan Productions,"Art, Music, & Performance",,"Every Monday, 4PM - 5PM","UMC Building, Room 384",56
University of Colorado Trumpet Alliance,"Art, Music, & Performance",,3:30 on Mondays,Imig music building,22
VeRVE Collisionz,"Art, Music, & Performance",,Wednesdays (8-10 pm) Sundays (3-5 pm),IMIG S317,24
Advertising Club,Business & Entrepreneurship,,7 - 8 pm Every other Tuesday,ARMORY,101
Alpha Kappa Psi,Business & Entrepreneurship,,6:30 PM,Koebel Room TBD,10
Association of Latino Professionals For America,Business & Entrepreneurship,,5:00pm,KOBL,6
B-Corp Club,Business & Entrepreneurship,,,,9
Bitcoin Buffs,Business & Entrepreneurship,,5pm Tuesdays,TBD,10
CannaBuffs,Business & Entrepreneurship,,,,133
CESR Fellows,Business & Entrepreneurship,,Wednesdays at 6:30pm,Koelbl Room 341,7
Colorado Credit Capital,Business & Entrepreneurship,,6 - 7 pm on Tuesdays,KOBL 125/217 (Varies),6
Colorado Investment Management Society,Business & Entrepreneurship,,Wednesday 4 to 5,1100 Pennsylvania Avenue,16
CU American Marketing Association,Business & Entrepreneurship,,Tuesdays at 6:30pm,Koelbel 218,70
CU Boulder Salesforce Student Group,Business & Entrepreneurship,,Wednesdays 11:30-12:30PM (1st + 3rd Weeks) & 5-6PM (2nd + 4th Weeks) see CUSalesforce.com for dates.,KOBL 235,5
CU Quants,Business & Entrepreneurship,,5:00 - 6:00 pm,KOBL 312,14
CU Real Estate Club,Business & Entrepreneurship,,Wednesdays 6:30 pm,KOBL 102,45
CU Sports Career Group,Business & Entrepreneurship,,,,7
Delta Sigma Pi,Business & Entrepreneurship,,8-9 pm on Tuesdays,KOBL 225,8
Evening MBA Association,Business & Entrepreneurship,,,,3
Financial Planning Club,Business & Entrepreneurship,,6-7 PM on Tuesdays (Weekly),KOBL 323,12
Leed's Net Impact,Business & Entrepreneurship,,,,1
Leeds Association for Information Systems,Business & Entrepreneurship,,,,6
Leeds Consulting Group,Business & Entrepreneurship,,7pm-9pm on Mondays,KOBL 218,17
Leeds Investment and Trading Group,Business & Entrepreneurship,,5-6 PM,KOBL 105,116
Leeds Outdoor Industry Club,Business & Entrepreneurship,,,,25
Leeds Venture Club,Business & Entrepreneurship,,TBD - Join Email List,TBD - Join Email List,5
Let's Talk Data,Business & Entrepreneurship,,4:00,Koelbel,1
Music Industry Club,Business & Entrepreneurship,,Every Thursday at 7:00 pm (MST),KOBL 102 on the 1st floor of the Koelbel Building,37
Scholars of Finance,Business & Entrepreneurship,,"Monday, 5-7pm",Koebel,11
The Adam Smith Society,Business & Entrepreneurship,,,,3
Thunderchief Booster Club,Business & Entrepreneurship,,,,4
Veteran's Business Club,Business & Entrepreneurship,,TBD,TBD,9
Women in Business,Business & Entrepreneurship,,Wednesdays 6:30pm,KOBL 101,118
Women in Economics,Business & Entrepreneurship,,,,2
Women in Finance,Business & Entrepreneurship,,,,23
Alpha Phi Omega - Gamma Theta,Community Service & Volunteerism,,,,5
Arnold Air Society - Onizuka Squadron,Community Service & Volunteerism,,Varies,Varies,20
Be the Match on Campus,Community Service & Volunteerism,,,,14
Boulder Athletic Management Club,Community Service & Volunteerism,,,,5
Circle K International,Community Service & Volunteerism,,6:30PM Alternate Wednesdays,CASE E260,17
Collar Scholars,Community Service & Volunteerism,,"Updates on time and location will be posted in GroupMe, send us an email with your phone number and we will add you to it!","Updates on time and location will be posted in GroupMe, send us an email with your phone number and we will add you to it!",295
Colorado Homeless Assistance with Medicine Program,Community Service & Volunteerism,,Tuesdays at 6:00 pm,,27
CU Rotaract Club,Community Service & Volunteerism,,Wednesdays @ 6:30pm,Hellems 137,14
Engineers Without Borders,Community Service & Volunteerism,,,,113
Generation Exchange,Community Service & Volunteerism,,,,3
Global Dental Brigades,Community Service & Volunteerism,,,,5
Global Medical Brigades,Community Service & Volunteerism,,Wednesdays at 6:00pm,TBD,17
Kesem,Community Service & Volunteerism,,,,11
Letters of Love CU-Boulder,Community Service & Volunteerism,,,,18
National Residence Hall Honorary,Community Service & Volunteerism,,,,10
Project Kind,Community Service & Volunteerism,,,,8
Silver Wings,Community Service & Volunteerism,,,,1
University of Colorado Emergency Medical Services,Community Service & Volunteerism,,Thursdays 6:30 pm,UMC 417/UMC 386,31
UNOS Ambassadors at CU,Community Service & Volunteerism,,5:00pm-6:00pm,Zoom platform and in-person Hellems 267,16
Volunteers Around the World CU Boulder Chapter,Community Service & Volunteerism,,Mondays @ 5 pm,Join VAW 2021-2022 GroupMe for weekly location,8
African Students Association,Cultural and International,,6:30 PM,C4C N320,27
aiesec,Cultural and International,,Thursdays 4:30-5:30pm,UMC 404,7
Armenian Student Association,Cultural and International,,,,5
Asian American Literature Association,Cultural and International,,,,5
Asian Unity,Cultural and International,,Wednesday at 5:30 pm,ECCR 1B40,83
Balkan Student Association,Cultural and International,,,,3
Boulder Bole Bhangra,Cultural and International,,Tuesday and Thursday 8-10pm,Rec Center or Will Vill Rec Center,3
Brazilian Student Association at the University of Colorado Boulder,Cultural and International,,,,34
Buffs4Israel,Cultural and International,,,CU Boulder Hillel,8
Chinese Students and Scholars Association,Cultural and International,,,,23
Cooking Through Cultures,Cultural and International,,Sundays,Will Vill East Kitchen,13
CU Boulder Milana,Cultural and International,,"Monday, Wednesday & Thursday (8:00-10:00pm)",CU Rec Center,14
CU Bridge Buffs,Cultural and International,,"Tuesdays, 7-8pm","Kitt Central South, email bridgebuffs@colorado.edu for location confrimation",12
CU Catalan Club,Cultural and International,,Monthly,In person,5
CU International,Cultural and International,,,,27
Food For Thought,Cultural and International,,TBD,TBD,8
French Club,Cultural and International,,,,29
Friends of Doctors Without Borders at CU Boulder,Cultural and International,,"Alternating Mondays, 5-6pm",KOBL 140,17
Greek Club,Cultural and International,,,,1
Hindu YUVA,Cultural and International,,,,11
Indian Students Association,Cultural and International,,,,103
International Festival Committee,Cultural and International,,4:00pm-5:00pm on Thursdays,Center for Community S350,10
Japanese Student Association,Cultural and International,,Starting 6 PM on every Thursday,Eaton Humanities HUMN125,15
Korean American Student Association,Cultural and International,,Every other Thursday,Hellems 199,2
Korean Graduate Student Association,Cultural and International,,"3:00-4:00 PM, Every Wednesdays","Online(Zoom), In-person(TBD)",24
Kuwaiti Student Association,Cultural and International,,TBA,TBA,4
Native Graduate Student Group,Cultural and International,,TBD,Zoom & In-person,8
Nepalese Student Association,Cultural and International,,5:00pm,UMC,37
Non-Traditional Student Organization,Cultural and International,,,,10
Oyate Native American and Indigenous Student Organization,Cultural and International,,7:00 PM - 8:00 PM,UMC 445,9
Pakistani Student Association,Cultural and International,,Tuesday (6pm),UMC/TBD,6
Ritmos Latinos,Cultural and International,,7:30 PM,UMC 457 - Dennis Small Cultural Center,34
Saudi Students Association at The University of Colorado at Boulder,Cultural and International,,,,6
Sikh Student Association,Cultural and International,,Thursdays @ 7,,0
South Asian Student Association,Cultural and International,,Every Thursday from 6-7 PM,ECCR 200,34
Taiwanese Student Association at CU Boulder,Cultural and International,,,,22
Thai Student Association,Cultural and International,,TBA,TBA,13
The Tango Club,Cultural and International,,8 pm on Thursdays (class); 7:30 pm on Mondays (practice),Studio 2 (class)/Studio 1 (practice) in the Rec Center,12
